2018:05:13-00:00:00,7716.2
2018:05:14-00:00:00,7708.8
2018:05:15-00:00:00,7709.4
2018:05:16-00:00:00,7748.9
2018:05:17-00:00:00,7779.4
2018:05:18-00:00:00,7771.8
2018:05:20-00:00:00,7799.5
2018:05:21-00:00:00,7861.3
2018:05:22-00:00:00,7866.8
2018:05:23-00:00:00,7794.8
2018:05:24-00:00:00,7744.6
2018:05:25-00:00:00,7714.7
2018:05:27-00:00:00,7725.4
2018:05:28-00:00:00,7697.6
2018:05:29-00:00:00,7624.8
2018:05:30-00:00:00,7703.9
2018:05:31-00:00:00,7690.9
2018:06:01-00:00:00,7706.9
2018:06:03-00:00:00,7693.8
2018:06:04-00:00:00,7723.2
2018:06:05-00:00:00,7676.3
2018:06:06-00:00:00,7721.7
2018:06:07-00:00:00,7679.4
2018:06:08-00:00:00,7701.4
2018:06:10-00:00:00,7686.0
2018:06:11-00:00:00,7761.2
2018:06:12-00:00:00,7698.0
2018:06:13-00:00:00,7693.4
2018:06:14-00:00:00,7770.0
2018:06:15-00:00:00,7666.9
2018:06:17-00:00:00,7674.2
2018:06:18-00:00:00,7650.0
2018:06:19-00:00:00,7627.7
2018:06:20-00:00:00,7642.4
2018:06:21-00:00:00,7551.2
2018:06:22-00:00:00,7666.1
2018:06:24-00:00:00,7669.7
2018:06:25-00:00:00,7511.8
2018:06:26-00:00:00,7569.9
2018:06:27-00:00:00,7581.3
2018:06:28-00:00:00,7638.1
2018:06:29-00:00:00,7623.7
2018:07:01-00:00:00,7618.2
2018:07:02-00:00:00,7565.8
2018:07:03-00:00:00,7573.7
2018:07:04-00:00:00,7576.1
2018:07:05-00:00:00,7616.5
2018:07:06-00:00:00,7632.9
2018:07:08-00:00:00,7617.8
2018:07:09-00:00:00,7708.4
2018:07:10-00:00:00,7651.9
2018:07:11-00:00:00,7590.8
2018:07:12-00:00:00,7666.0
2018:07:13-00:00:00,7670.3
2018:07:15-00:00:00,7683.8
2018:07:16-00:00:00,7610.2
2018:07:17-00:00:00,7662.4
2018:07:18-00:00:00,7674.5
2018:07:19-00:00:00,7677.3
2018:07:20-00:00:00,7666.8
2018:07:22-00:00:00,7671.1
2018:07:23-00:00:00,7667.0
2018:07:24-00:00:00,7699.3
2018:07:25-00:00:00,7662.9
2018:07:26-00:00:00,7676.0
2018:07:27-00:00:00,7669.6
2018:07:29-00:00:00,7672.8
2018:07:30-00:00:00,7693.3
2018:07:31-00:00:00,7735.5
2018:08:01-00:00:00,7645.8
2018:08:02-00:00:00,7624.2
2018:08:03-00:00:00,7675.3
2018:08:05-00:00:00,7674.8
2018:08:06-00:00:00,7658.9
2018:08:07-00:00:00,7716.9
2018:08:08-00:00:00,7725.9
2018:08:09-00:00:00,7740.9
2018:08:10-00:00:00,7673.6
2018:08:12-00:00:00,7656.8
2018:08:13-00:00:00,7655.4
2018:08:14-00:00:00,7636.5
2018:08:15-00:00:00,7496.8
2018:08:16-00:00:00,7546.5
2018:08:17-00:00:00,7563.7
2018:08:19-00:00:00,7572.3
2018:08:20-00:00:00,7590.4
2018:08:21-00:00:00,7526.9
2018:08:22-00:00:00,7571.0
2018:08:23-00:00:00,7547.7
2018:08:24-00:00:00,7574.7
2018:08:26-00:00:00,7582.0
2018:08:27-00:00:00,7633.6
2018:08:28-00:00:00,7618.6
2018:08:29-00:00:00,7568.4
2018:08:30-00:00:00,7482.1
2018:08:31-00:00:00,7455.3
2018:09:02-00:00:00,7454.6
2018:09:03-00:00:00,7491.7
2018:09:04-00:00:00,7448.5
2018:09:05-00:00:00,7386.1
2018:09:06-00:00:00,7334.3
2018:09:07-00:00:00,7282.4
2018:09:09-00:00:00,7291.4
2018:09:10-00:00:00,7280.5
2018:09:11-00:00:00,7283.2
2018:09:12-00:00:00,7288.9
2018:09:13-00:00:00,7289.2
2018:09:14-00:00:00,7306.5
2018:09:16-00:00:00,7296.4
2018:09:17-00:00:00,7232.5
2018:09:18-00:00:00,7311.5
2018:09:19-00:00:00,7343.6
2018:09:20-00:00:00,7383.5
2018:09:21-00:00:00,7470.4
2018:09:23-00:00:00,7456.8
2018:09:24-00:00:00,7450.8
2018:09:25-00:00:00,7480.6
2018:09:26-00:00:00,7491.2
2018:09:27-00:00:00,7542.7
2018:09:28-00:00:00,7506.3
2018:09:30-00:00:00,7516.4
2018:10:01-00:00:00,7490.7
2018:10:02-00:00:00,7481.9
2018:10:03-00:00:00,7497.4
2018:10:04-00:00:00,7421.1
2018:10:05-00:00:00,7331.4
2018:10:07-00:00:00,7313.2
2018:10:08-00:00:00,7261.1
2018:10:09-00:00:00,7236.2
2018:10:10-00:00:00,7055.6
2018:10:11-00:00:00,7033.8
2018:10:12-00:00:00,7022.3
2018:10:14-00:00:00,7005.1
2018:10:15-00:00:00,7019.8
2018:10:16-00:00:00,7081.7
2018:10:17-00:00:00,7057.3
2018:10:18-00:00:00,7013.7
2018:10:19-00:00:00,7032.4
2018:10:21-00:00:00,7013.0
2018:10:22-00:00:00,7045.6
2018:10:23-00:00:00,7003.1
2018:10:24-00:00:00,6917.3
2018:10:25-00:00:00,6972.5
2018:10:26-00:00:00,6949.7
2018:10:28-00:00:00,6970.9
2018:10:29-00:00:00,6980.2
2018:10:30-00:00:00,7079.4
2018:10:31-00:00:00,7120.0
2018:11:01-00:00:00,7124.6
2018:11:02-00:00:00,7108.6
2018:11:04-00:00:00,7080.9
2018:11:05-00:00:00,7098.8
2018:11:06-00:00:00,7058.3
2018:11:07-00:00:00,7133.1
2018:11:08-00:00:00,7122.0
2018:11:09-00:00:00,7114.4
2018:11:11-00:00:00,7125.9
2018:11:12-00:00:00,7067.9
2018:11:13-00:00:00,7068.6
2018:11:14-00:00:00,6996.5
2018:11:15-00:00:00,7083.4
2018:11:16-00:00:00,7042.8
2018:11:18-00:00:00,7030.9
2018:11:19-00:00:00,6996.2
2018:11:20-00:00:00,6910.6
2018:11:21-00:00:00,7039.3
2018:11:22-00:00:00,6978.1
2018:11:23-00:00:00,6943.5
2018:11:25-00:00:00,6961.6
2018:11:26-00:00:00,7029.4
2018:11:27-00:00:00,7043.4
2018:11:28-00:00:00,7059.2
2018:11:29-00:00:00,7047.3
2018:11:30-00:00:00,7020.6
2018:12:02-00:00:00,7066.2
2018:12:03-00:00:00,7081.2
2018:12:04-00:00:00,6949.6
2018:12:05-00:00:00,6858.0
2018:12:06-00:00:00,6785.3
2018:12:07-00:00:00,6763.4
2018:12:09-00:00:00,6721.6
2018:12:10-00:00:00,6764.6
2018:12:11-00:00:00,6827.3
2018:12:12-00:00:00,6867.4
2018:12:13-00:00:00,6841.0
2018:12:14-00:00:00,6790.8
2018:12:16-00:00:00,6806.0
2018:12:17-00:00:00,6747.3
2018:12:18-00:00:00,6684.1
2018:12:19-00:00:00,6685.2
2018:12:20-00:00:00,6690.8
2018:12:21-00:00:00,6636.5
2018:12:23-00:00:00,6631.2
2018:12:24-00:00:00,6549.7
2018:12:25-00:00:00,6557.6
2018:12:26-00:00:00,6764.4
2018:12:27-00:00:00,6648.3
2018:12:28-00:00:00,6719.6
2018:12:30-00:00:00,6745.1
2018:12:31-00:00:00,6723.7
2019:01:01-00:00:00,6738.9
2019:01:02-00:00:00,6687.7
2019:01:03-00:00:00,6698.0
2019:01:04-00:00:00,6825.2
2019:01:06-00:00:00,6844.8
2019:01:07-00:00:00,6812.4
2019:01:08-00:00:00,6892.2
2019:01:09-00:00:00,6884.9
2019:01:10-00:00:00,6949.8
2019:01:11-00:00:00,6910.6
2019:01:13-00:00:00,6888.0
2019:01:14-00:00:00,6860.9
2019:01:15-00:00:00,6884.2
2019:01:16-00:00:00,6846.7
2019:01:17-00:00:00,6850.0
2019:01:18-00:00:00,7003.9
2019:01:20-00:00:00,6976.4
2019:01:21-00:00:00,6974.1
2019:01:22-00:00:00,6857.6
2019:01:23-00:00:00,6828.8
2019:01:24-00:00:00,6814.6
2019:01:25-00:00:00,6799.6
2019:01:27-00:00:00,6780.5
2019:01:28-00:00:00,6754.8
2019:01:29-00:00:00,6868.7
2019:01:30-00:00:00,6955.6
2019:01:31-00:00:00,6972.0
2019:02:01-00:00:00,7018.1
2019:02:03-00:00:00,7014.2
2019:02:04-00:00:00,7056.8
2019:02:05-00:00:00,7167.0
2019:02:06-00:00:00,7155.8
2019:02:07-00:00:00,7097.4
2019:02:08-00:00:00,7114.9
2019:02:10-00:00:00,7110.0
2019:02:11-00:00:00,7110.8
2019:02:12-00:00:00,7152.6
2019:02:13-00:00:00,7163.9
2019:02:14-00:00:00,7198.9
2019:02:15-00:00:00,7245.9
2019:02:17-00:00:00,7238.3
2019:02:18-00:00:00,7211.3
2019:02:19-00:00:00,7184.7
2019:02:20-00:00:00,7212.8
2019:02:21-00:00:00,7165.0
2019:02:22-00:00:00,7192.3
2019:02:24-00:00:00,7196.6
2019:02:25-00:00:00,7154.9
2019:02:26-00:00:00,7130.5
2019:02:27-00:00:00,7094.4
2019:02:28-00:00:00,7079.3
2019:03:01-00:00:00,7129.3
2019:03:03-00:00:00,7149.2
2019:03:04-00:00:00,7117.5
2019:03:05-00:00:00,7161.5
2019:03:06-00:00:00,7145.9
2019:03:07-00:00:00,7142.1
2019:03:08-00:00:00,7140.5
2019:03:10-00:00:00,7136.9
2019:03:11-00:00:00,7150.2
2019:03:12-00:00:00,7155.2
2019:03:13-00:00:00,7147.8
2019:03:14-00:00:00,7184.0
2019:03:15-00:00:00,7233.0
2019:03:17-00:00:00,7226.0
2019:03:18-00:00:00,7299.7
2019:03:19-00:00:00,7294.1
2019:03:20-00:00:00,7311.4
2019:03:21-00:00:00,7357.5
2019:03:22-00:00:00,7187.0
2019:03:24-00:00:00,7196.5
2019:03:25-00:00:00,7178.2
2019:03:26-00:00:00,7206.8
2019:03:27-00:00:00,7201.2
2019:03:28-00:00:00,7273.8
2019:03:29-00:00:00,7288.5
2019:03:31-00:00:00,7308.7
2019:04:01-00:00:00,7324.8
2019:04:02-00:00:00,7374.5
2019:04:03-00:00:00,7393.3
2019:04:04-00:00:00,7408.3
2019:04:05-00:00:00,7455.7
2019:04:07-00:00:00,7450.2
2019:04:08-00:00:00,7446.9
2019:04:09-00:00:00,7416.5
2019:04:10-00:00:00,7416.0
2019:04:11-00:00:00,7423.2
2019:04:12-00:00:00,7447.1
2019:04:14-00:00:00,7441.7
2019:04:15-00:00:00,7439.9
2019:04:16-00:00:00,7453.9
2019:04:17-00:00:00,7469.5
2019:04:18-00:00:00,7485.6
2019:04:21-00:00:00,7490.4
2019:04:22-00:00:00,7491.1
2019:04:23-00:00:00,7521.1
2019:04:24-00:00:00,7471.8
2019:04:25-00:00:00,7439.6
2019:04:26-00:00:00,7433.4
2019:04:28-00:00:00,7435.4
2019:04:29-00:00:00,7448.5
2019:04:30-00:00:00,7442.2
2019:05:01-00:00:00,7333.9
2019:05:02-00:00:00,7342.6
2019:05:03-00:00:00,7388.6
2019:05:05-00:00:00,7339.7
2019:05:06-00:00:00,7316.2
2019:05:07-00:00:00,7242.8
2019:05:08-00:00:00,7271.0
2019:05:09-00:00:00,7235.7
2019:05:10-00:00:00,7277.7
2019:05:12-00:00:00,7235.9
2019:05:13-00:00:00,7148.1
2019:05:14-00:00:00,7251.9
2019:05:15-00:00:00,7277.5
2019:05:16-00:00:00,7350.4
2019:05:17-00:00:00,7335.1
2019:05:19-00:00:00,7334.5
2019:05:20-00:00:00,7319.5
2019:05:21-00:00:00,7359.1
2019:05:22-00:00:00,7315.6
2019:05:23-00:00:00,7226.4
2019:05:24-00:00:00,7291.0
2019:05:26-00:00:00,7285.3
2019:05:27-00:00:00,7303.3
2019:05:28-00:00:00,7243.6
2019:05:29-00:00:00,7189.2
2019:05:30-00:00:00,7224.9
2019:05:31-00:00:00,7149.9
2019:06:02-00:00:00,7119.4
2019:06:03-00:00:00,7169.0
2019:06:04-00:00:00,7221.4
2019:06:05-00:00:00,7208.5
2019:06:06-00:00:00,7258.8
2019:06:07-00:00:00,7359.7
2019:06:09-00:00:00,7379.0
2019:06:10-00:00:00,7367.9
2019:06:11-00:00:00,7388.1
2019:06:12-00:00:00,7370.0
2019:06:13-00:00:00,7367.2
2019:06:14-00:00:00,7363.9
2019:06:16-00:00:00,7363.5
2019:06:17-00:00:00,7371.0
2019:06:18-00:00:00,7454.1
2019:06:19-00:00:00,7400.3
2019:06:20-00:00:00,7414.7
2019:06:21-00:00:00,7372.3
2019:06:23-00:00:00,7382.3
2019:06:24-00:00:00,7405.1
2019:06:25-00:00:00,7396.7
2019:06:26-00:00:00,7406.8
2019:06:27-00:00:00,7412.4
2019:06:28-00:00:00,7462.0
2019:06:30-00:00:00,7489.1
2019:07:01-00:00:00,7490.7
2019:07:02-00:00:00,7550.3
2019:07:03-00:00:00,7607.3
2019:07:04-00:00:00,7600.6
2019:07:05-00:00:00,7560.5
2019:07:07-00:00:00,7566.9
2019:07:08-00:00:00,7548.4
2019:07:09-00:00:00,7539.3
2019:07:10-00:00:00,7551.2
2019:07:11-00:00:00,7542.3
2019:07:12-00:00:00,7494.4
